,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1,8.541317293979345,0.6328124766446594,0.2891009409020751,2.1888980183534135,0.02860425314761765,0.0641498122534164
gene2,21.281238743636653,0.5385519626968448,0.14996283880751674,3.591236115422553,0.00032911330010097886,0.0016455665005048943
gene3,5.010123488534718,-0.6328304835493679,0.29523564529678076,-2.1434758764078965,0.0320749061267082,0.0641498122534164
gene4,100.51796142035019,-0.41210168698397465,0.11862906873457699,-3.4738676732430482,0.0005130139681411795,0.0017100465604705985
gene5,27.14245027407868,0.582065385240571,0.15470550919571954,3.762408903642818,0.00016828461267163892,0.0016455665005048943
gene6,5.413042747652502,0.0014572888359417212,0.3103113468460863,0.004696215110253552,0.9962529762424075,0.9962529762424075
gene7,28.294023040460452,0.1343378529475053,0.14994451296825534,0.8959170981864865,0.37029704153098975,0.4114411572566553
gene8,40.358344420355564,-0.27065583296733126,0.13640133368542165,-1.9842608987353212,0.04722676273687461,0.07871127122812435
gene9,37.16618263398529,-0.21271466797773028,0.1332433516899257,-1.5964373852794131,0.11039117493431745,0.14314745871223755
gene10,11.589324902383556,0.38601089122503535,0.24458818731285575,1.5782074165801148,0.11451796696979005,0.14314745871223755
